"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"ht11";"ht13";"ht19";"pobre";"VivAdec";"desocupado";"Auto";"Internet"
"2019_1_2019000003";27;"Ituzaingo";9;"F";2;32;1;33986,5;5000;"2";0;3;0;0;0
"2019_1_2019000004";29;"Cordon";2;"B";2;53;1;72924;17000;"2";0;1;0;0;1
"2019_1_2019000008";20;"Pocitos";5;"CH";2;85;1;111762;36000;"1";0;1;0;0;1
"2019_1_2019000012";14;"Punta Carretas";5;"CH";2;45;1;32271;0;"1";0;1;0;1;0
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";1;30;1;74749,5;15000;"4";0;2;0;1;1
"2019_1_2019000019";22;"Carrasco";8;"E";2;77;1;219473,333333333;45000;"3";0;1;0;1;1
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";2;86;1;169680;15000;"4";0;1;0;1;1
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";1;45;1;160227;15000;"4";0;2;0;1;1
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";2;30;1;68170;10000;"6";0;2;0;1;0
"2019_1_2019000032";36;"Villa Garcia, Manga Rur.";9;"F";2;42;1;18580,5;6000;"3";1;3;0;0;0
"2019_1_2019000034";26;"Punta Carretas";5;"CH";2;64;1;74576;0;"2";0;1;0;0;1
"2019_1_2019000039";23;"Conciliacion";13;"G";2;74;1;33288;11000;"1";0;2;0;0;0
"2019_1_2019000050";41;"Capurro, Bella Vista";16;"C";2;44;1;62584;7000;"4";0;2;0;0;1
"2019_1_2019000053";38;"Punta Carretas";5;"CH";1;52;1;216666,666666667;50000;"4";0;1;0;1;1
"2019_1_2019000058";39;"Conciliacion";13;"G";2;26;1;43786;0;"3";0;1;0;0;1
"2019_1_2019000060";28;"Punta Carretas";5;"CH";2;37;1;142966,333333333;0;"3";0;1;0;1;1
"2019_1_2019000061";36;"Flor de Maro¦as";9;"F";2;25;1;53526;10000;"2";0;2;0;0;1
"2019_1_2019000064";29;"Capurro, Bella Vista";16;"C";2;53;1;37576;10000;"2";0;1;0;1;1
"2019_1_2019000074";33;"Buceo";5;"CH";2;47;1;329146,333333333;28000;"3";0;1;0;1;1
"2019_1_2019000078";27;"La Figurita";3;"C";1;58;1;76394;0;"2";0;1;0;0;1
"2019_1_2019000079";43;"Ituzaingo";9;"F";1;31;1;108672,5;13000;"7";0;2;0;1;0
"2019_1_2019000086";28;"Pque. Batlle, V. Dolores";4;"CH";2;24;1;35214;0;"1";0;1;0;0;1
"2019_1_2019000097";37;"Capurro, Bella Vista";16;"C";2;35;1;140992,666666667;10000;"7";0;1;0;1;1
"2019_1_2019000101";29;"Ituzaingo";9;"F";2;34;1;77354;10000;"3";0;1;0;1;1
"2019_1_2019000104";28;"Pocitos";5;"CH";2;37;1;91591;0;"3";0;1;0;1;1
"2019_1_2019000109";44;"Buceo";5;"CH";2;19;1;32271;0;"2";0;1;1;0;1
"2019_1_2019000112";37;"Cerro";17;"A";2;46;1;97579;10000;"4";0;1;0;1;1
"2019_1_2019000114";47;"Manga, Toledo Chico";10;"D";2;21;1;38726;9000;"4";1;1;0;0;0
"2019_1_2019000116";18;"Pque. Batlle, V. Dolores";4;"CH";2;56;1;78000;18000;"1";0;1;0;0;0
"2019_1_2019000120";22;"Pe¦arol, Lavalleja";13;"G";2;72;1;113288;11000;"1";0;1;0;1;1
