"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"desocupado";"ocupados";"subempleo";"pobpcoac";"TotEduc"
"2019_1_2019000003";27;"Ituzaingo";9;"F";2;32;1;0;1;0;2;"8"
"2019_1_2019000003";27;"Ituzaingo";9;"F";1;9;4;0;0;0;1;"2"
"2019_1_2019000004";29;"Cordon";2;"B";2;53;1;0;1;0;2;"16"
"2019_1_2019000004";29;"Cordon";2;"B";2;13;4;0;0;0;1;"7"
"2019_1_2019000008";20;"Pocitos";5;"CH";2;85;1;0;0;0;10;"14"
"2019_1_2019000012";14;"Punta Carretas";5;"CH";2;45;1;0;1;1;2;"15"
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";1;6;3;0;0;0;1;"0"
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";1;30;1;0;1;0;2;"8"
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";2;28;2;1;0;0;4;"9"
"2019_1_2019000017";47;"Ba¦ados de Carrasco";9;"F";2;13;5;0;0;0;1;"6"
"2019_1_2019000019";22;"Carrasco";8;"E";2;77;1;0;0;0;10;"12"
"2019_1_2019000019";22;"Carrasco";8;"E";1;14;11;0;0;0;7;"8"
"2019_1_2019000019";22;"Carrasco";8;"E";2;45;4;0;1;0;2;"18"
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";2;86;1;0;0;0;10;"9"
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";2;33;13;0;1;0;2;"12"
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";2;12;12;0;0;0;1;"6"
"2019_1_2019000021";39;"Paso de las Duranas";13;"G";1;38;12;0;1;0;2;"16"
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";2;26;3;0;1;0;2;"14"
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";2;58;2;0;1;0;2;"9"
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";1;30;3;0;1;0;2;"12"
"2019_1_2019000025";50;"Tres Ombues, Victoria";14;"A";1;45;1;0;1;0;2;"6"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";2;30;1;0;1;0;2;"7"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";1;7;3;0;0;0;1;"0"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";2;8;3;0;0;0;1;"2"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";1;39;2;0;1;0;2;"6"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";1;6;3;0;0;0;1;"0"
"2019_1_2019000027";45;"Manga, Toledo Chico";10;"D";1;10;3;0;0;0;1;"3"
"2019_1_2019000032";36;"Villa Garcia, Manga Rur.";9;"F";1;16;4;0;0;0;7;"6"
"2019_1_2019000032";36;"Villa Garcia, Manga Rur.";9;"F";2;42;1;0;1;0;2;"9"
"2019_1_2019000032";36;"Villa Garcia, Manga Rur.";9;"F";2;11;4;0;0;0;1;"4"
"2019_1_2019000034";26;"Punta Carretas";5;"CH";2;64;1;0;0;0;10;"17"
"2019_1_2019000034";26;"Punta Carretas";5;"CH";1;59;2;0;1;1;2;"10"
"2019_1_2019000039";23;"Conciliacion";13;"G";2;74;1;0;0;0;9;"5"
"2019_1_2019000050";41;"Capurro, Bella Vista";16;"C";1;50;9;0;0;0;9;"6"
"2019_1_2019000050";41;"Capurro, Bella Vista";16;"C";2;44;1;0;1;0;2;"10"
